##BLOCKS= 1          																															
Plate:	Plate01	1.3	PlateFormat	Spectrum	Fluorescence	TRUE	Raw	FALSE	22			455	560	5			13	12	384	414	Manual	455	Emission Sweep	414	6	Automatic			12	5	None
Wavelength(nm)	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24						
455	24.2																														
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
														87749.32	90008.195	89234.125	94023.703	81841.187	80407.328	87277.234	83661.562	88899.094	116159.977	117132.156	208820.781						
														161398.516	168744.891	163106.109	178138.984	156142.109	159886.328	177129.609	174050.5	174427.797	189208.031	326813.781	330050.313						
														259349.641	272596.75	271269.938	293657.031	301797.25	303267.125	342065.813	327172.125	404152.375	437937.938	532595.875	599693.438						
														373535.031	384546.75	384127.406	446410.062	380848.406	445402.625	500661.719	523454.625	474770.938	627310.937	679874.438	763165.625						
														472612.844	492241.125	509402.438	560527.875	536062.812	557429.562	602991.375	735474.125	668246.125	788153.312	937676.75	934716.125						
																															
460	24.2																														
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
														109129.711	111524.719	110864.844	113569.992	102618.836	96134.273	107715.477	105550.523	110828.336	145268.813	147606.297	268058.406						
														192373.937	204020.016	205377.156	215602.781	194223.344	206180.516	220678.984	214587.938	218319.312	235269.047	414420.906	460922.719						
														319962.687	337912.437	346192.781	370069.25	378049.5	383314.063	437770.906	419631.406	522009.875	558547.812	686722.062	825645.688						
														462944.344	483012.844	490472.469	558859	480656.406	570197.687	618974.687	669326.312	613899.5	814079.562	910948.125	1005334.75						
														579738.313	607215.812	635921	702673.5	691237.875	712501.438	755741.687	929711.437	860449.437	1012236.625	1220735	1230711.875						
																															
465	24.1																														
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
														121391.555	130252.648	127574.953	129022.422	115977.305	116499.43	125107.078	121309.531	132830.359	168107.516	170243.5	325072.781						
														228872.953	241194.406	237150.031	250058.281	224019.094	234261.859	259342.922	253422.047	260568.188	280041.719	487470.406	566789.25						
														376790.187	402727.813	397898.219	429241.063	435736.469	456884.656	512533.688	494597.375	610665.312	660849.563	811025.312	1007619.438						
														551120.937	568328.5	563481.875	654179.25	562118.75	676011.75	720153.875	796985.875	726280.625	995850.375	1114042.875	1214782.75						
														683870	713481.812	740627.437	833930.75	815199.875	843940.625	895407.25	1111192.625	1031441	1208555.625	1474626.375	1469527.5						
																															
470	24.1																														
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
														131010.453	136963.703	137901.594	139718.937	126786.367	122850.938	134074.984	129877.148	144567.781	178879.375	185951.016	354676.625						
														245564.547	254422.656	253257.812	270018.375	246416.328	253889.813	279916.094	274198.188	283290.813	307871.156	530133.125	648423.437						
