##BLOCKS= 1          																															
Plate:	Plate01	1.3	PlateFormat	Spectrum	Fluorescence	TRUE	Raw	FALSE	14			495	560	5			1	24	384	475	Manual	495	Emission Sweep	475	6	Automatic			7	10	None
Wavelength(nm)	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24						
495	23.9																														
																															
																															
																															
																															
																															
		54058.496	37378.434	38698.836	35389.754	36126.367	35240.34	37202.68	37130.352	37784.559	33300.813	31873.623	32642.582	32443.559	31623.496	32116.791	35203	34190.754	34211.25	33710.57	32279.648	30093.805	32128.742	29432.691	38319.875						
		43018.922	37899.937	37096.609	36090.227	36651.934	40285.176	36695.543	33954.75	37958.578	33693.844	33043.691	31584.854	31641.65	31419.975	34250.746	33753.008	33002.164	35746.328	32896.828	28929.643	31032.146	29588.955	31122.986	31828.055						
		44596.996	37170.762	37153.391	34553.352	36147.465	35173.16	35210.527	34150.609	34304.129	34008.383	32599.664	33209.457	32561.898	32583.387	31367.545	32778.391	32692.436	38742.195	39727.684	30810.971	30943.225	29314.609	29085.99	32510.314						
		57473.676	36542.027	36435	34708.105	33205.488	34727.434	34256.102	33039.215	33845.543	32791.457	32917.773	33462.844	31279.193	32029.584	32867.652	35062.773	33194.977	32587.379	31761.963	29066.492	29982.266	29403.092	29308.863	39551.988						
		62854.523	38770.918	38863.254	34261.18	35040.082	36310.762	36560.762	34417.676	33393.82	32631.982	37032.078	32815.988	31932.355	33004.574	31787.832	34952.238	33108.109	31809.26	33199.668	30039.447	28724.844	30050.352	32162.604	33151.543						
		64581.707	42124.504	91646.523	94718.789	34500.738	38153.41	44076.34	33878.625	34730.043	35419.434	34842.191	33872.5	29224.328	31550.723	37976.906	34896.926	35430.598	35829.609	34093.387	32855.922	32275.727	31059.76	29529.92	33988.801						
		67204.812	36360.402	55049.367	59261.285	38522.906	45036.727	45386.195	38794.684	40554.961	36420.336	34719.367	34555.402	34307.793	34202.449	35673.922	36493.121	65674.367	54182.16	37429.777	35134.023	83257.883	83649.008	33604.324	34996.441						
		67698.281	37268.777	40106.859	41387.633	37614.543	45259.215	39684.648	42310.578	41485.797	74080.023	41353.203	49558.375	38953.562	43044.687	75591.109	70562.914	110852.297	31957.035	40652.684	34093.43	41564.824	47038.523	55658.367	38005.711						
		78198.141	38307.562	44709.566	44498.527	85417.281	94528.242	57007.496	57938.762	69286.312	101274.773	156931.5	169622.844	43795.305	51928.078	129317.258	32939.73	208413.547	71424.898	128475.328	130451.695	73263.234	83877.75	55545.305	38722.055						
		65716.227	57543.535	61273.938	39885.164	44996.32	42510.164	156338.891	139832.844	167990.063	169593.156	57872.145	61148.871	146397.187	101588.398	126347.094	75229.859	119038.953	31402.523	39255.781	39021.395	43295.02	60453.992	118547.422	87516.305						
																															
500	23.9																														
																															
																															
																															
																															
																															
		26653.199	19397.576	18728.219	17874.199	17977.637	18402.719	19403.184	18313.01	19427.77	17900.695	17093.428	16599.725	16139.399	16495.068	15761.768	17679.68	17514.389	18336.32	17584.252	16255.062	15986.148	16887.91	16537.332	20621.537						
		22354.141	19353.902	18534.107	17688.711	18529.258	20702.756	18146.697	18169.617	17596.383	17143.789	17209.176	16576.514	16772.352	16926.516	17553.973	17017.148	17208.816	18513.975	17959.027	15907.254	16701.416	15282.546	16087.028	16289.966						
		21616.566	17930.48	19859.574	17966.904	17807.404	17535.896	17676.795	17093.768	17665.693	17712.621	16838.201	17565.182	17042.674	15506.085	15369.566	17227.908	17280.855	19718.428	19354.604	15657.524	15599.547	15518.375	15577.774	16256.925						
		26636.402	18547.105	18580.766	17581.957	17613.119	17340.141	18642.645	17684.422	17486.055	17565.137	17175.232	16534.816	16406.006	16642.424	17162.59	17349.871	17222.141	17072.701	17092.072	15601.714	15458.775	15244.775	14830.219	19586.781						
		29714.914	20094.592	19329.264	17097.164	17319.199	18985.432	18104.654	17650.244	17603.977	17830.02	20641.76	17182.26	17417.992	16957.154	16807.344	18149.236	17344.424	17018.371	17104.055	15952.089	16243.295	14701.834	16496.854	18543.83						
		29665.402	19830.836	43003.086	43929	19550.313	20236.617	22324.242	17372.5	18786.252	19135.434	16688.971	16630.824	16455.527	16892.1	17621.621	16994.529	17656.373	17198.516	17262.643	17027.152	18353.17	17307.047	15720.857	18332.865						
		34043.578	20457.469	26089.078	28461.648	19789.066	22751.684	22313.607	18236.098	20165.322	18445.283	17688.164	18341.271	19954.996	17986.984	17540.938	18848.775	22706.316	18536.469	20342.373	19162.219	26881.461	27007.91	18789.813	20382.391						
		70544.258	64784.828	19634.197	22035.037	34325.273	38631.586	21168.721	21081.496	22628.807	36860.648	20490.195	24744.598	29067.16	30332.398	19796.928	17911.486	53253.883	17342.043	31690.875	28566.158	18137.43	21180.398	74461.398	69556.969						
		40259.395	22725.213	24155.713	22187.15	19741.107	23259.428	23398.051	22072.682	64891.48	82538.977	38182.109	38895.016	23819.15	27269.932	61098.668	17413.5	87025.219	26518.344	22387.115	20120.834	41890.934	45670.859	30141.947	23223.053						
		34510.313	29244.107	30356.875	21761.887	38699.77	38148.969	36202.402	32466.611	30586.871	38874.051	52031.609	53505.77	59099.684	36156.883	64975.41	39495.262	59938.891	16890.336	31519.553	31782.623	21950.311	29679.371	38831.633	22016.576						
																															
505	23.9																														
																															
																															
																															
																															
																															
		15161.647	11272.403	11442.363	10988.914	11714.603	11034.503	10946.398	11164.204	11304.734	10654.752	10022.943	10457.999	9914.005	10044.201	10439.187	11250.814	10576.492	10856.001	10770.268	9470.424	9890.213	10044.708	10338.896	11688.822						
		12379.354	11943.308	10725.546	11425.451	11399.654	12701.357	11390.969	11038.229	10680.383	10277.761	10426.563	10382.648	10313.834	11144.107	9847.124	10489.573	10495.929	11372.496	10203.35	9720.621	10311.389	9324.477	9536.757	10517.958						
		12379.55	11024.776	11769.795	10863.732	10712.805	10290.364	10771.248	10886.332	10960.163	10414.189	11192.58	10549.358	10255.545	10477.671	9594.467	10166.614	9315.051	12190.189	12115.258	9910.155	9500.342	9900.566	10419.544	10811.651						
		14974.569	11197.099	11098.414	10243.574	11186.375	10976.173	10845.232	11307.941	10754.8	10672.194	10156.656	9480.513	10086.677	10716.647	10159.236	10594.864	9684.858	10466.021	10296.409	9389.114	10242.855	9514.085	9828.26	11759.585						
		17025.629	11747.701	10900.232	10978.819	11186.584	10638.747	10969.221	11578.903	10958.026	9604.194	11862.616	10280.354	10137.124	10280.845	9920.346	11317.315	10761.804	11053.347	10631.43	9520.025	9036.689	9914.341	9995.812	10841.358						
		17285.697	12148.14	10654.717	11145.545	10756.324	11299.963	13440.853	11443.515	10420.035	11992.939	10646.751	11317.734	15610.001	17676.5	11651.878	11197.914	10460.507	9732.824	10844.889	10916.739	11405.52	10547.855	9638.03	11205.303						
		18815.611	12401.405	11222.804	13083.027	11528.503	12477.291	12673.317	11015.629	11699.055	11519.463	10900.692	11871.865	11166.284	11052.532	22379.67	21720.168	12943.281	10566.413	20018.789	20298.893	10513.984	9482.931	11137.696	11678.849						
		41773.137	37253.344	11621.456	12672.79	11177.582	13422.385	19592.877	20908.148	12285.491	19681.596	42182.402	45643.426	20740.551	21501.645	12356.746	11173.442	28437.238	10177.201	12929.509	10624.536	11385.427	11876.174	15659.616	11650.919						
		22456.072	13067.192	14630.725	14831.998	11426.163	13460.112	21105.896	21237.797	28264.91	37045.852	22293.52	21453.119	13319.724	14929.289	37898.133	15670.984	42715.012	11071.451	22867.859	23415.279	36148.059	40578.004	15686.469	12025.461						
		19601.844	16511.436	36241.086	32116.633	22799.92	23369.486	22299.322	18873.922	15969.125	20397.934	16580.514	16306.18	25433.359	14168.419	22141.143	11093.744	37287.465	15849.951	10832.915	11180.846	13108.969	18057.604	31780.734	22566.863						
																															
510	23.9																														
																															
																															
																															
																															
																															
		8054.114	6641.954	6984.072	7122.784	7248.799	6656.297	6797.345	6604.552	7835.606	6535.545	6597.401	6116.419	7440.8	6459.13	6177.412	7025.437	6682.75	6642.779	6508.243	6467.669	6817.51	6386.385	6479.056	7431.845						
		7856.175	6803.147	7052.337	6247.575	6569.74	7658.933	6805.135	6700.929	6630.515	6770.79	7453.802	6469.485	6625.216	6738.145	6400.617	6811.645	6311.298	6892.082	6128.429	6212.059	6451.765	6180.845	6048.013	6379.539						
		7204.999	6332.072	7022.688	6629.624	6425.248	6449.096	6841.82	6877.059	6527.174	7141.618	6446.23	6833.439	6745.418	6253.841	6388.42	6272.173	6621.593	8227.277	7487.297	6398.196	6037.626	6643.14	6467.076	7229.242						
		8756.675	6117.418	6437.919	6586.806	6260.583	6442.353	6837.831	6542.38	6646.349	6417.178	6646.437	6115.461	5985.752	6339.125	6842.486	7424.468	6634.154	6674.78	6592.216	6041.19	6092.135	6312.429	6354.705	7521.655						
		9068.881	7582.727	6486.793	6845.113	6167.15	6639.698	6595.952	6466.233	6086.098	6819.834	7732.364	7395.268	6514.018	6713.087	6883.631	6676.332	6479.904	6586.971	6448.19	6283.275	6260.007	6342.807	6646.24	6227.877						
		9212.453	6529.758	8076.678	8064.445	6906.72	6889	7619.288	6439.698	6855.017	7370.033	6088.036	6842.607	6368.139	7007.866	7350.771	6848.674	7020.303	7116.291	6845.17	6303.677	6725.141	6398.046	6753.646	6442.738						
